SA2 name,Population density 2020
,
Braidwood,1.3
Karabar,1198.9
Queanbeyan,2403.7
Queanbeyan - East,390.9
Queanbeyan Region,7
Queanbeyan West - Jerrabomberra,956.2
Bombala,0.6
Cooma,65.7
Cooma Region,0.6
Jindabyne - Berridale,1.9
Batemans Bay,128.3
Batemans Bay - South,280.5
Bega - Tathra,47.8
Bega-Eden Hinterland,1.9
Broulee - Tomakin,151.1
Deua - Wadbilliga,0
Eden,34.4
Eurobodalla Hinterland,2.4
Merimbula - Tura Beach,117.5
Moruya - Tuross Head,50.3
Narooma - Bermagui,36.6
Goulburn,376.3
Goulburn Region,1.5
Yass,67.3
Yass Region,2.2
Young,21.2
Young Region,1.2
Avoca Beach - Copacabana,1208.2
Box Head - MacMasters Beach,347.2
Calga - Kulnura,6.5
Erina - Green Point,424.3
Gosford - Springfield,1199.1
Kariong,793.1
Kincumber - Picketts Valley,623.1
Narara,903.8
Niagara Park - Lisarow,483.2
Point Clare - Koolewong,931
Saratoga - Davistown,1543.5
Terrigal - North Avoca,1462.7
Umina - Booker Bay - Patonga,995.9
Wamberal - Forresters Beach,766.1
Woy Woy - Blackwall,835.4
Wyoming,1411.4
Bateau Bay - Killarney Vale,2086.3
Blue Haven - San Remo,539.5
Budgewoi - Buff Point - Halekulani,1052.4
Chittaway Bay - Tumbi Umbi,642.4
Gorokan - Kanwal - Charmhaven,2026.5
Jilliby - Yarramalong,10.3
Lake Munmorah - Mannering Park,318.1
Ourimbah - Fountaindale,43.6
Summerland Point - Gwandalan,674.5
The Entrance,1149.2
Toukley - Norah Head,982.8
Tuggerah - Kangy Angy,196.7
Warnervale - Wadalba,425.7
Wyong,617.7
Bathurst,208.8
Bathurst - East,133.9
Bathurst Region,1.9
Oberon,1.6
Condobolin,0.4
Cowra,38.3
Cowra Region,1.8
Forbes,2.3
Grenfell,1.1
Parkes (NSW),47.6
Parkes Region,0.6
West Wyalong,0.7
Lithgow,107
Lithgow Region,3.4
Mudgee,192
Mudgee Region - East,1.2
Mudgee Region - West,1.3
Wollangambe - Wollemi,0
Blayney,4.5
Orange,413.1
Orange - North,223
Orange Region,2.7
Grafton,179
Grafton Region,1.9
Maclean - Yamba - Iluka,23.6
Bellingen,6.2
Coffs Harbour - North,726.8
Coffs Harbour - South,313.4
Coramba - Nana Glen - Bucca,11
Dorrigo,1.6
Korora - Emerald Beach,176
Sawtell - Boambee,169.5
Urunga,44.5
Woolgoolga - Arrawarra,50.4
Bourke - Brewarrina,0.1
Cobar,0.1
Coonamble,0.3
Nyngan - Warren,0.2
Walgett - Lightning Ridge,0.2
Broken Hill,101.5
Far West,0
Coonabarabran,0.7
Dubbo - East,118.6
Dubbo - South,733
Dubbo - West,144.2
Dubbo Region,1.5
Gilgandra,0.8
Narromine,1.1
Wellington,2.6
Branxton - Greta - Pokolbin,29.3
Cessnock,346.1
Cessnock Region,5.6
Dungog,4.3
Kurri Kurri - Abermain,215.7
Singleton,126.5
Singleton Region,1.3
Maitland,252.5
Maitland - East,717.6
Maitland - North,120.5
Maitland - West,143.9
Thornton - Millers Forest,215.7
