1901,3788123
1902,3845265
1903,3891519
1904,3941208
1905,3999074
1906,4059083
1907,4122201
1908,4190692
1909,4272439
1910,4367405
1911,4489545
1912,4653721
1913,4820172
1914,4948990
1915,4985569
1916,4943173
1917,4940815
1918,5029403
1919,5193104
1920,5360462
1921,5455136
1922,5569889
1923,5693369
1924,5811145
1925,5939231
1926,6056360
1927,6182488
1928,6302210
1929,6393883
1930,6462610
1931,6526485
1932,6576824
1933,6629839
1934,6677361
1935,6726258
1936,6778372
1937,6835536
1938,6898541
1939,6967754
1940,7039490
1941,7109898
1942,7180736
1943,7234904
1944,7309711
1945,7391692
1946,7465157
1947,7579358
1948,7708761
1949,7908066
1950,8178696
1951,8421775
1952,8636458
1953,8815362
1954,8986530
1955,9199729
1956,9425563
1957,9640138
1958,9842333
1959,10056479
1960,10275020
1961,10548267
1962,10742291
1963,10950379
1964,11166702
1965,11387665
1966,11599498
1967,11799078
1968,12008635
1969,12263014
1970,12507349
1971,13067265
1972,13303664
1973,13504538
1974,13722571
1975,13892995
1976,14033083
1977,14192234
1978,14359255
1979,14515729
1980,14695356
1981,14923260
1982,15184247
1983,15393472
1984,15579391
1985,15788312
1986,16018350
1987,16263874
1988,16532164
1989,16814416
1990,17065128
1991,17284036
1992,17478635
1993,17634808
1994,17805468
1995,18004882
1996,18224767
1997,18423037
1998,18607584
1999,18812264
2000,19028802
2001,19274701
2002,19495210
2003,19720737
2004,19932722
2005,20176844
2006,20450966
2007,20827622
2008,21249199
2009,21691653
2010,22031750
2011,22340024
2012,22733465
2013,23128129
2014,23475686
2015,23815995
2016,24190907
2017,24601860
2018,24982688
2019,25365745
2020,25697298
