cities,population
Sydney,4637436
Melbourne,4546593
Brisbane,2282759
Perth,1982270
Adelaide,1305526
Gold Coast - Tweed Heads,645711
Newcastle - Maitland,475716
Canberra - Queanbeyan,439971
Central Coast,328330
Sunshine Coast,316905
Wollongong,294784
Geelong,254296
Hobart,207396
Townsville,178244
Cairns,149182
Toowoomba,133654
Darwin,133098
Ballarat,101678
Bendigo,95934
Albury - Wodonga,90836
Launceston,85732
Mackay,80411
Rockhampton,78598
Bunbury,73678
Bundaberg,70179
Coffs Harbour,70106
Melton,61960
Wagga Wagga,55800
Hervey Bay,53016
Mildura - Wentworth,51051
